,,,,,,,,,,,,,,,,,spch snapshot images,,,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width ,Aw,kw,PSTmw,y0w,Age (HAS),Leaf Width (mm),Ln Leaf Width (spch),Blade Length,Blade + Petiole length,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),3002_PA Leaf Width,elapsed time (h)
148.63,6.193055556,5.193055556,0.55,0.37,-1.00,0.247178886,-1.39764297,0.310179656,,383.17,0.797697,-0.226026453,,,,,169.53,0.11,-2.25,0.15,0.20,TL02_T05,23/05/2013,18:00:00,30/05/2013,04:29:00,7,6,154.48,,
148.65,6.19375,5.19375,0.38,0.29,-1.26,0.247257897,-1.397323371,0.310284692,,383.17,0.866945,-0.142779741,,,,,169.65,0.09,-2.36,-,0.19,TL02_T06,23/05/2013,18:00:00,30/05/2013,06:29:00,7,6,156.48,,
148.92,6.204861111,5.204861111,0.65,0.43,-0.85,0.24852536,-1.392210386,0.31196994,,479.42,0.495357,-0.702476564,,,,,170.52,0.11,-2.17,-,0.21,TL03_T00,23/05/2013,18:00:00,30/05/2013,09:30:00,7,6,159.50,,
150.62,6.275694444,5.275694444,0.48,0.30,-1.21,0.256752707,-1.359641886,0.322923037,,479.42,0.583332,-0.538998786,,,,,170.87,0.11,-2.21,0.15,0.18,TL03_T01,23/05/2013,18:00:00,30/05/2013,11:30:00,7,6,161.50,,
151.00,6.291666667,5.291666667,0.39,0.28,-1.26,0.25864353,-1.352304499,0.325443647,,407.50,1.468701,0.384378337,,,,,171.57,0.13,-2.07,0.16,0.20,TL04,23/05/2013,18:00:00,30/05/2013,13:33:00,7,6,163.55,,
151.20,6.3,5.3,0.44,0.27,-1.32,0.259635317,-1.348477258,0.32676627,,407.50,0.918945,-0.084529006,,,,,171.83,0.12,-2.15,0.16,-,TL05,23/05/2013,18:00:00,30/05/2013,15:30:00,7,6,165.50,0.277,0.18
151.33,6.305555556,5.305555556,0.42,0.28,-1.26,0.260298525,-1.345926132,0.327650898,,407.50,0.979341,-0.020875382,,,,,172.42,0.13,-2.02,-,0.22,TL06,23/05/2013,18:00:00,30/05/2013,17:16:00,7,6,167.27,,
151.45,6.310416667,5.310416667,0.37,0.25,-1.39,0.260880159,-1.343694139,0.328426841,,407.50,0.742433,-0.297822648,,,,,172.77,0.11,-2.21,-,0.18,TL07_T00,23/05/2013,18:00:00,30/05/2013,18:24:00,7,6,168.40,,
168,7,6,0.31,0.25,-1.40,0.357146196,-1.029610069,0.458334241,,407.50,0.894379,-0.111625656,,,,,191.73,0.12,-2.14,0.15,0.18,TL07_T01,23/05/2013,18:00:00,30/05/2013,20:24:00,7,6,170.40,,
168,7,6,0.46,0.30,-1.20,0.357146196,-1.029610069,0.458334241,,407.50,1.392759,0.331286672,,,,,191.72,0.16,-1.86,0.21,0.25,TL07_T02,23/05/2013,18:00:00,30/05/2013,22:24:00,7,6,172.40,,
