,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width 
555.88,23.16180556,22.16180556,9.48,6.78,1.91,5.959749714,1.785028486,9.445956351,,,,
555.93,23.16388889,22.16388889,11.47,6.45,1.86,5.959789675,1.785035191,9.446012745,,,,
555.97,23.16527778,22.16527778,9.91,5.31,1.67,5.959816293,1.785039657,9.446050308,,,,
556.02,23.16736111,22.16736111,10.61,6.03,1.80,5.959856188,1.785046351,9.446106605,,,,
579.05,24.12708333,23.12708333,9.35,5.56,1.71,5.974612055,1.787519168,9.46670238,,,,
579.08,24.12847222,23.12847222,11.35,6.88,1.93,5.974628903,1.787521988,9.466725599,,,,
579.13,24.13055556,23.13055556,8.51,5.54,1.71,5.974654155,1.787526214,9.466760397,,,,
579.17,24.13194444,23.13194444,9.38,5.83,1.76,5.974670975,1.787529029,9.466783575,,,,
579.20,24.13333333,23.13333333,9.57,6.12,1.81,5.974687784,1.787531843,9.466806737,,,,
579.22,24.13402778,23.13402778,10.24,6.25,1.83,5.974696185,1.787533249,9.466818312,,,,
579.27,24.13611111,23.13611111,9.67,6.23,1.83,5.974721369,1.787537464,9.466853013,,,,
579.30,24.1375,23.1375,10.18,6.43,1.86,5.974738145,1.787540272,9.466876127,,,,
602.88,25.12013889,24.12013889,11.30,6.73,1.91,5.984212581,1.789124765,9.47978617,,,,
602.92,25.12152778,24.12152778,10.70,6.66,1.90,5.984223074,1.789126518,9.479800284,,,,
602.97,25.12361111,24.12361111,10.64,6.34,1.85,5.984238802,1.789129147,9.479821438,,,,
603.00,25.125,24.125,11.21,7.31,1.99,5.984249278,1.789130897,9.479835528,,,,
603.03,25.12638889,24.12638889,10.15,6.38,1.85,5.984259748,1.789132647,9.479849608,,,,
603.10,25.12916667,24.12916667,12.26,6.87,1.93,5.984280666,1.789136142,9.479877739,,,,
648.23,27.00972222,26.00972222,7.98,4.29,1.46,5.993616072,1.790694915,9.492190627,,,,
648.28,27.01180556,26.01180556,9.95,6.12,1.81,5.993622446,1.790695978,9.492198816,,,,
648.32,27.01319444,26.01319444,10.33,5.89,1.77,5.993626692,1.790696687,9.49220427,,,,
648.40,27.01666667,26.01666667,10.68,6.62,1.89,5.993637294,1.790698456,9.49221789,,,,
648.45,27.01875,26.01875,7.87,5.42,1.69,5.993643647,1.790699515,9.49222605,,,,
648.48,27.02013889,26.02013889,9.59,6.53,1.88,5.993647879,1.790700222,9.492231485,,,,
749.20,31.21666667,30.21666667,10.02,6.50,1.87,5.99915179,1.791618091,9.499062231,,,,
749.28,31.22013889,30.22013889,9.54,6.27,1.84,5.999153202,1.791618326,9.499063871,,,,
749.35,31.22291667,30.22291667,9.13,5.88,1.77,5.99915433,1.791618514,9.49906518,,,,
749.38,31.22430556,30.22430556,9.91,5.80,1.76,5.999154894,1.791618608,9.499065834,,,,
749.43,31.22638889,30.22638889,10.68,6.28,1.84,5.999155738,1.791618749,9.499066814,,,,
